cse101,cse,101,3
cse103,cse,103,3
cse113,cse,113,3
cse114,cse,114,3
cse150,cse,150,3
cse160,cse,160,3
cse161,cse,161,3
cse213,cse,213,3
cse214,cse,214,3
cse215,cse,215,3
cse216,cse,216,3
cse220,cse,220,3
cse260,cse,260,3
cse261,cse,261,3
cse300,cse,300,3
cse301,cse,301,3
cse303,cse,303,3
cse304,cse,304,3
cse305,cse,305,3
cse306,cse,306,3
cse307,cse,307,3
cse310,cse,310,3
cse311,cse,311,3
cse312,cse,312,3
cse316,cse,316,3
cse320,cse,320,3
cse323,cse,323,3
cse327,cse,327,3
cse328,cse,328,3
cse331,cse,331,3
cse332,cse,332,3
cse333,cse,333,3
cse334,cse,334,3
cse337,cse,337,3
cse346,cse,346,3
cse350,cse,350,3
cse351,cse,351,3
cse352,cse,352,3
cse353,cse,353,3
cse354,cse,354,3
cse355,cse,355,3
cse356,cse,356,3
cse357,cse,357,3
cse360,cse,360,3
cse361,cse,361,3
cse362,cse,362,3
cse363,cse,363,3
cse366,cse,366,3
cse371,cse,371,3
cse373,cse,373,3
cse376,cse,376,3
cse377,cse,377,3
cse378,cse,378,3
cse380,cse,380,3
cse381,cse,381,3
cse385,cse,385,3
cse390,cse,390,3
cse391,cse,391,3
cse392,cse,392,3
cse393,cse,393,3
cse394,cse,394,3
cse416,cse,416,3
cse475,cse,475,3
cse487,cse,487,3
cse488,cse,488,3
cse495,cse,495,3
cse496,cse,496,3
ams151,ams,151,3
ams161,ams,161,3
ams210,ams,210,3
ams301,ams,301,3
ams310,ams,310,3
ams311,ams,311,3
mat125,mat,125,3
mat126,mat,126,3
mat127,mat,127,3
mat131,mat,131,3
mat132,mat,132,3
mat211,mat,211,3
mat221,mat,221,3
mat222,mat,222,3
bio201,bio,201,3
bio202,bio,202,3
bio203,bio,203,3
bio204,bio,204,3
che131,che,131,3
che133,che,133,3
che152,che,152,3
che154,che,154,3
che132,che,132,3
che321,che,321,3
che322,che,322,3
che331,che,331,3
che332,che,332,3
ast203,ast,203,3
ast205,ast,205,3
geo102,geo,102,3
geo103,geo,103,3
geo112,geo,112,3
geo113,geo,113,3
geo122,geo,122,3
phy125,phy,125,3
phy126,phy,126,3
phy127,phy,127,3
phy131,phy,131,3
phy132,phy,132,3
phy133,phy,133,3
phy134,phy,134,3
phy141,phy,141,3
phy142,phy,142,3
phy251,phy,251,3
phy252,phy,252,3
